,codigo,anunciante,oferta,tipo,area_util,bairro,cidade,preco,valor_m2,quartos,vagas,latitude,longitude,cluster
48375,VK4337,TRK  Imóveis,Aluguel,Apartamento,213,ASA NORTE,BRASILIA,7500,35,4.0,1.0,-157664776,-47884947,4
48628,AP4501,Coemi Imóveis,Aluguel,Apartamento,99,ASA NORTE,BRASILIA,4900,49,3.0,1.0,-157455917,-478945868,3
48651,SQN215MOB,RW Imóveis,Aluguel,Apartamento,69,ASA NORTE,BRASILIA,5100,73,2.0,1.0,-15740039,-478882304,2
48656,830912,Precisa Netimóveis,Aluguel,Apartamento,64,ASA NORTE,BRASILIA,1800,28,1.0,,-157602972,-47894429,6
48678,DDA202,Daleprane Inteligência Imobiliária,Aluguel,Apartamento,33,ASA NORTE,BRASILIA,1950,59,1.0,,-157371558,-478941997,0
48702,977145,JA Imóveis,Aluguel,Apartamento,376,ASA NORTE,BRASILIA,16000,42,4.0,4.0,-157455917,-478945868,8
48739,GOLDLOCSTN,Gold House Imobiliária,Aluguel,Apartamento,40,ASA NORTE,BRASILIA,1800,45,1.0,1.0,-157359669,-479053514,8
48747,721126A,Bloco Imob,Aluguel,Apartamento,21,ASA NORTE,BRASILIA,1000,47,1.0,,-157403227,-479000549,3
48756,AC3072,Acontece Imobiliária,Aluguel,Apartamento,110,ASA NORTE,BRASILIA,5800,52,3.0,1.0,-157551223,-478927187,7
48883,AP0322,Simóvel,Aluguel,Apartamento,35,ASA NORTE,BRASILIA,1200,34,1.0,,-157568783,-47894133,4
48958,2065AP00040,Marcelo Oliveira Imóveis,Aluguel,Apartamento,122,ASA NORTE,BRASILIA,6900,56,3.0,1.0,-157681069,-478874663,7
