,codigo,anunciante,oferta,tipo,area_util,bairro,cidade,preco,valor_m2,quartos,vagas,latitude,longitude,cluster
26365,ASICELD,Asa Sul Imóveis,Venda,Apartamento,118,ASA SUL,BRASILIA,1280000,10847,3.0,1.0,-158184112,-479016846,0
27030,VILLA148132V01,Bordalo Imob,Venda,Apartamento,125,ASA SUL,BRASILIA,1150000,9200,3.0,,-158234668,-479238858,1
27784,AP0529,4IMOB,Venda,Apartamento,141,ASA SUL,BRASILIA,1550000,10992,3.0,,-158166268,-479038167,0
28235,994317,Luxury House DF,Venda,Apartamento,141,ASA SUL,BRASILIA,1280000,9078,3.0,,-158064497,-478962633,1
28889,AP00939,DF4 Imóveis,Venda,Apartamento,120,ASA SUL,BRASILIA,1329900,11082,3.0,2.0,-158356558,-479163951,0
30790,APTTPR675,Mestra Imobiliária,Venda,Apartamento,141,ASA SUL,BRASILIA,1550000,10992,3.0,,-158169015,-479027253,0
31696,663V-DFI,TL Imóveis,Venda,Apartamento,123,ASA SUL,BRASILIA,1360000,11056,3.0,1.0,-158099455,-47891103,0
31817,933970,3A imobiliária Dalmo&Dailton,Venda,Apartamento,136,ASA SUL,BRASILIA,1500000,11029,3.0,1.0,-158185472,-479064831,0
34687,AP00412,Real Imobiliária DF,Venda,Apartamento,126,ASA SUL,BRASILIA,975000,7738,3.0,2.0,-158202434,-479045093,3
34920,1030615,Fernando Santos,Venda,Apartamento,142,ASA SUL,BRASILIA,1500000,10563,3.0,1.0,-158161084,-478958953,5
35701,9278,61 Imóveis,Venda,Apartamento,130,ASA SUL,BRASILIA,1170000,9000,3.0,,-158106404,-479006433,1
36803,987017,ZS Corretor de imóveis,Venda,Apartamento,142,ASA SUL,BRASILIA,1325000,9330,3.0,,-158115744,-478987227,1
37503,1003068,SHINAIDER IMOBILIÁRIA.,Venda,Apartamento,120,ASA SUL,BRASILIA,1600000,13333,3.0,1.0,-158342104,-479205321,6
37644,SQS109,Victor Passos,Venda,Apartamento,136,ASA SUL,BRASILIA,1359999,9934,3.0,1.0,-158194826,-479061514,8
37861,AP01414,CBL Imóveis,Venda,Apartamento,132,ASA SUL,BRASILIA,1380000,10454,3.0,,-158085198,-478982892,5
39253,1033380,Deuzirene Ribeiro,Venda,Apartamento,127,ASA SUL,BRASILIA,1500000,11811,3.0,1.0,-158193244,-479019243,2
41973,690115,ZS Corretor de imóveis,Venda,Apartamento,141,ASA SUL,BRASILIA,1300000,9219,3.0,,-158127053,-478987303,1
